C�DIGO,DESCRIPCI�N,,,A�O,LADO,ARRIBA,MEDIO,ABAJO,COSTADO
2000,NISSAN  PATROL JEEP PLANO (LAMINADO) /GOMA,1980,1980,80,B,141,38.5,141,38
2000,NISSAN SUNNY VAGONETA /GOMA,1996,1980,96,A,109,72,139,67.5
2000,NISSAN SUNNY AUTO 16600 /PEGADO,1987,1992,87-92,A,107,72.5,145,
2000,NISSAN SUNNY MEXICANNO 1500 P/REDONDA /GOMA,1978,1990,78-90,A,107,69,138,
2000,NISSAN DATSUN 160J 4 PUERTAS/PEGADO,1978,1980,78-80,,117,64,143,
2000,NISSAN PATROL JEEP VAGONETA /PEGADO,1997,1998,97-98,,130,63,158,59
2000,NISSAN SENTRA EX SALOON SUNNY/PEGADO,1990,1993,90-93,,108,78,142,77
2000,"NISSAN DATSUN 76-1200,AUTO 4 PUERTAS/GOMA",1976,1980,76-80,A,110,58,138.5,57
2000,NISSAN DATSUN MINI CAMIONETA/GOMA,1976,1984,76-84,A,112.5,52.5,133,51
2000,"NISSAN DATSUN 1200 AUTO HUEVO 4 PUERTAS, P/RED./GOMA",1976,1976,76,A,104,55.5,127,52
2000,NISSAN SUNNY VAGONETA 4 PUERTAS P/REDONDA/PEGADO,1991,1991,91,,116,84.5,142,76
2000,NISSAN DATSUN CAMIONETA 1300 /GOMA,1975,1978,75-78,B,121,56.5,141,
2000,NISSAN CIVILAN MICROBUS/GOMA,1977,1982,77-82,B,,,,
2000,NISSAN BLUEBIRD (CHICO)/PEGADO,1985,185,85,,,,,
2000,NISSAN TERRANO II VAGONETA 4 PUERTAS Y 2 PUERTAS/PEGADO,1995,1985,95,A/B,119,79.5,147,74
2000,NISSAN DATSUN 2 PUERTAS AUTO,1980,1985,80,,,,,
2000,NISSAN PULSAR AUTO 4 PUERTAS,1985,1985,85,B,101,79,139,
2000,NISSAN BLUEBIRD AUTO 4 PUERTAS/PEGADO,1980,1983,80-83,A,111,69.5,140,67
2000,"NISSAN SILVA S-X 200, AUTO 2 PUERTAS P/ESQ./PEGADO",1985,1980,85,,106,75,139,72
2000,NISSAN DATSUN VAGONETA,1978,1980,78-80,,,,,
2000,NISSAN VANETTE MINIBUS P/ESQ./GOMA,85/92,1994,85/92-94,A,111,81,139,78
2000,NISSAN JUNIOR CAMIONETA/GOMA,1976,1976,76,A,128,45,143,56
2000,NISSAN AUTO 2 PUERTAS DPT.,1987,1987,87,,,,,
2000,NISSAN PULSAR AUTO 2 PUERTAS P/RED./PEGADO,1986,1986,86,B,112,77.5,147,76
2000,NISSAN 300 ZX 2 PUERTAS,1985,1985,85,A,,,,
2000,NISSAN LAUREL ALTIMA 4 PUERTAS P/ESQ. CORTE AL MEDIO Y AL COSTADO/PEGADO,1989,1989,89,B,109,85.5,140,82
2000,NISSAN DATSUN 1600 AUTO 2 PUERTAS ,1980,1980,80,,,,,
2000,NISSAN STANZA VAG. 4 PUERTAS P/RED./PEGADO,1985,1988,85-88,A,112,75.5,146,72
2000,NISSAN LAUREL 4 PUERTAS AUTO CORTE AL COSTADO ABAJO/PEGADO,1985,1985,85,A,115,78,149,78
2000,NISSAN BLUEBIRD (GRANDE) CHICO/PEGADO,1988,1988,88,,112,76,144,CHICO
2000,NISSAN CARAVAN HOMY MINIBUS/GOMA,1980,1980,80,,,,,
2000,NISSAN LIBERTY VILLA AUTO 4 PUERTAS,1982,1982,82,,,,,
2000,NISSAN CEDRIC AUTO 4PUERTAS CORTE AL MEDIO,1991,2001,91/2001,B,113,84,152,
2000,NISSAN STANZA AUTO 4 PUERTAS/PEGADO,1983,1985,83-85,B,112,74.5,144,
2000,NISSAN PULSAR 2 PUERTAS P/ESQ.CORTE AL COSTADO ABAJO/PEGADO,1991,1992,91-92,B,105,,,
2000,NISSAN ATLAS 2000 CAMIONETA (CHICO)/GOMA ,1986,1986,86,A,133.5,68,154,
2000,NISSAN SKILINE VAGONETA 4 PUERTAS P/RED./PEGADO,1985,1988,85-88,A,,,,
2000,NISSAN DIESEL JICHI CONDOR CAMI�N (GRANDE)/GOMA,1989,1994,89-94,,203,82.5,216,77
2000,NISSAN CAMI�N CURVO/GOMA,1975,1975,75,,,,,
2000,NISSAN CHERRY MINIBUS (CHICO) JAPONES/GOMA,1984,1984,84,A/B,117,73.5,140,
2000,NISSAN CHERRY AUTO 4 PUERTAS (CHICO)/GOMA,1985,1985,85,,,,,
2000,NISSAN LIBERTY VILLA AUTO 4 PUERTAS,1988,1980,88,,104,80,140,
2000,NISSAN DIESEL CAMION /GOMA,1978,1980,78-80,A,193,68.5,207,65
2000,NISSAN VANETTE MINIBUS JAPONES/GOMA,1987,1990,87-90,,119,83,148,80
2000,,1900,1990,,,111,81,139,78
2000,NISSAN DATSUN 1200 AUTO 2 PUERTAS,1976,1976,76,,,,,
2000,NISSAN DATSUN TURBO AUTO 2 PUERTAS,1983,1983,83,,,,,
2000,NISSAN JUNIOR CAMIONETA/GOMA,1985,1985,85,A,131,57,147,56
2000,"NISSAN LIBERTY VILLA 4 PUERTAS, P/REDONDA ARRIBA Y ABAJO/PEGADO",1985,1985,85,B,102.5,80.5,140,77
2000,NISSAN BLUEBIRD AUTO 2 PUERTAS,1987,1987,87,,,,,
2000,NISSAN PULSAR MI-D AUTO 4 PUERTAS/PEGADO,1992,1994,92-94,A,102,80,140,
2000,NISSAN SKILINE AUTO 4 PUERTAS ,1985,1985,85,,,,,
2000,NISSAN PRESEA AUTO 4 PUERTAS P/RED./PEGADO,1990,1990,90,,110,77,153,70
2000,NISSAN SENTRA AUTO 4 PUERTAS P/ESQ./PEGADO,1994,1996,94-96,A,109.5,81.5,141,77
2000,NISSAN CONDOR V-D 180 CAMI�N (CHICO)/GOMA,1989,1989,89,,180,84,194,
2000,NISSAN ATLAS 350 CAMIONETA P/RED./GOMA,1990,1990,90,A,163,68,185,
2000,"NISSAN 200 SX, 2400 SX SILVA AUTO P/ESQ./PEGADO",1991,1991,91,B,110,78,146,75
2000,NISSAN PATHFINDER SE VAGONETA 4 PUERTAS P/ESQ. /PEGADO,1998,1998,98,B,119,75,135,71
2000,NISSAN PULSAR EXA AUTO 2 PUERTAS P/RED./PEGADO,1989,1989,89,A,110,77.5,146,73
2000,NISSAN ATLAS 150 CAMIONETA CURVO P/RED./GOMA,1995,1995,95,B/A,142,76.5,148,75
2000,NISSAN BLUEBIRD (USA) AUTO 4 PUERTAS (CHICO)/P ESQ./PEGADO,1987,1987,87,B,113,83.5,149,
2000,NISSAN AVENIR VAGONETA 4 PUERTAS/PEGADO,1992,1992,92,A,117.5,98,144,
2000,NISSAN PRAIRIE JOY L VAGONETA 4 PUERTAS,1994,1998,94/98,A,114,98,144,
2000,NISSAN AXXESS VAGONETA FURGON 4 PUERTAS SOLO /PEGADO,1992,1992,92,A,114,87.5,144,78
2000,NISSAN SENTRA AUTO 4 PUERTAS P/RED./PEGADO,1997,1997,97,,108,78,134,72
2000,NISSAN MARCH AUTO 2 PUERTAS P/RED./PEGADO,1996,1996,96,A,101,86.5,147,77
2000,NISSAN ALTIMA AUTO  P/ESQ./PEGADO,1994,2000,94/2000,A,118,81,143,77
2000,NISSAN PRIMERA AUTO 4 PUERTAS /PEGADO,1992,1992,92,B,111.5,,,
2000,NISSAN DIESEL CAMION GRANDE/GOMA,1998,1998,98,,,80,220,
2000,NISSAN DIESEL CAMION CHICO- GRANDE/GOMA,1998,1998,98,,180.5,82.4,195.6,87
2000,,1900,1900,,,190,81,212,
2000,NISSAN NIBOL T 50-4L CAMIONCITO,1998,1998,98,B,170,"72-71,5",182,68
2000,NISSAN BLUEBIRD AUTO 4 PUERTAS P/RED./PEGADO,1990,1991,90-91,B,110,86.5,152,80
2000,NISSAN DATSUN 1200 SX AUTO 2 PUERTAS,1980,1980,80,,,,,
2000,NISSAN BLUEBIRD AUTO 4 PUERTAS P/ESQ.,1900,1990,,,,,,
2000,NISSAN MOPAR PSQ-ARR MICRO CARROCER�A/GOMA,1990,1990,90,,,,,
2000,NISSAN 300 ZX AUTO 2 PUERTAS P /ESQ./PEGADO,1992,1992,92,B,113,79.5,150,76
2000,NISSAN COUPE NX AUTO  2 PUERTAS P/RED./PEGADO,1990,90,90,A,110.5,77.5,139,71
2000,NISSAN QUEST XE FURGONETA 4 PUERTAS/PEGADO,1994,94,94,B,113,91,162.5,79.5
2000,NISSAN SILVA SX 2 PUERTAS P/RED./PEGADO,1990,90,90,A,111,80.5,146.5,72
2000,NISSAN MARCH AUTO 4 PUERTAS P/RED./GOMA,1986,86,86,,100.5,69.5,132,66
2000,NISSAN BLUEBIRD EEX AUTO 4 PUERTAS (CHICO) P/RED./PEGADO,1995,95,95,A,114,87,147,84
2000,,1900,,,,113,86.5,145,83.5
2000,NISSAN SERENA EVR VAGONETA 4 PUERTAS P/ESQ./PEGADO,1991,91,91,A,122,90,160,82.5
2000,NISSAN MAXIMA AUTO 4 PUERTAS P/RED./PEGADO,1991,1991,91,A,117,83,154,80
2000,NISSAN X TRAIL VAGONETA P/ESQ./PEGADO,2000,2000,2000,,124,90,145,82
2000,NISSAN MURANO VAGONETA P/ESQ./PEGADO,2003,2004,2003-2004,B,131.5,105,158,92.5
2000,NISSAN URVAN MINIBUS P/RED./PEGADO,2004,2004,2004,A,135,77.5,150.5,70
2000,NISSAN TITAN CAMIONETA P/RED./PEGADO (CHICO VAG. ARMADA),2004,2004,2004,A/B,141,86.5,165,83
2000,NISSAN ALTIMA AUTO  P/ESQ./PEGADO,2002,2002,2002,A/B,,,,
2000,NISSAN ATLAS CAMIONETA P/RED./PEGADO,2000,2000,2000,A,137,79.5,154,75
2000,NISSAN MAXIMA 4 PUERTAS /PEGADO (MEDIO REDONDO),1996,1996,1996,A,120,86,154,82
2000,NISSAN PATHFINDER XTERRA VAGONETA 4 PUERTAS P/RED. /PEGADO (FRONTIER CAMIONETA),2005,2005,2005,,122,82.5,154,80
2000,NISSAN PULSAR LUCINO AUTO Y NISSAN CALIFORNIA VAGONETA P/RED/PEGADO,1996,1996,1996,,110,82.5,142,78
2000,NISSAN SKILINE AUTO 2 PUERTAS P/RED./PEGADO ,1994,1995,1994-1995,A,114,79.5,145,69
2000,NISSAN QUEST FURGONETA P/ESQ./PEGADO,2005,2005,2005,,138,105,170,100
2000,NISSAN RNESSA 4 PUERTAS P/ESQ./PEGADO,1997,1997,1997,B,117,85.5,149,83.5
2000,NISSAN WINGROAD VAGONETA 4 PUERTAS P/ESQ./PEGADO (NISSAN AVENIR ),2002,2002,2002,A/B,110,89.5,145,81
2000,NISSAN LARGO MINIBUS FURGON CORTE ABAJO AL MEDIO. P/ESQ./PEGADO,2002,2002,2002,A,122,94,164,82
2000,NISSAN PRIMERA AUTO 4 PUERTAS /PEGADO (VAGONETA),1996,1998,1996-1998,A,112,80,143.5,77
2000,NISSAN PRESEA AUTO 4 PUERTAS /PEGADO,1995,1995,1995,,113,81.5,150,75
2000,NISSAN BLUEBIRD AUTO 4 PUERTAS  /PEGADO,1996,1996,1996,A,112,80,143.5,77
2000,NISSAN RASHEEN VAGONETA 4 PUERTAS P/ESQ./PEGADO,1995,1995,1995,A,127,63,151,58.5
2000,NISSAN ELGRAND MINIBUS P/ESQ.,1999,1999,1999,,131,93.5,150,86.5
2000,NISSAN LIBERTY VAGONETA 4 PUERTAS P/ESQ./PEGADO,1999,1999,1999,,,,,
2000,NISSAN SENTRA AUTO 4 PUERTAS  P/ESQ./P/RED.,2008,2008,2008,A,121,96,146,86
2000,NISSAN MARCH AUTO 4 PUERTAS P/RED./GOMA,2004,2004,2004,A,110,84,130,76
2000,NISSAN PRESAGE VAGONETA 4 PUERTAS,1998,1998,1998,,,,,
2000,NISSAN TIIDA AUTO COLA CHUTO /PEGADO,2005,2005,2005,A,118,91,133,86-85
2000,NISSAN VANETTE MINIBUS Y CAMIONETA P/RED./GOMA,1999,1999,1999,B,123,70,144,67
2000,NISSAN MURANO VAGONETA 4 PUERTAS P/ESQ.,2009,2009,2009,B,129,102,136/147,98
2000,NISSAN SERENA MINIBUS 4 PUERTAS P/ESQ./PEGADO,2001,2003,2001-2003,A,125,94,141,90
2000,NISSAN SERENA MINIBUS 4 PUERTAS P/ESQ.,2009,1980,2009,,130,103,142,
2000,NISSAN ROGUE VAGONETA 4 PUERTAS P/ESQ.,2005,2008,2005-2008,,120,99.5,139,
2000,NISSAN VANETTE MINIBUS P/RED./PEGADO,2004,2004,2004,,121,74.5,143,
3000,MITSUBISHI MONTERO JEEP O VAGONETA/GOMA,1985,1991,85-91,B,119,58.5,140,58.5
3000,MITSUBISHI MONTERO JEEP VAGONETA PAJERO/PEGADO,1991,1997,91-97,A,125.5,64.5,148,62.5
3000,MITSUBISHI L-200  CAMIONETA DOBLE CABINA 4X4 Y SENCILLA 4X2/PEGADO,1988,1996,88-96,A,115,63.5,143,62
3000,MITSUBISHI MINIBUS P/RED/GOMA,1982,1987,82-87,A,125,60,147.5,59.5
3000,MITSUBISHI  DELICA L-300 MINIBUS/GOMA,1987,1995,87-95,B/A,125,69,146,69
3000,MITSUBISHI TREDIA AUTO P/RED./PEGADO,1985,1985,85,A,104,68,138,64.5
3000,MITSUBISHI LANCER MMC 4 PUERTAS  Y 2 PUERTAS /PEGADO,1985,1985,85,B,100,76,140,73
3000,MITSUBISHI GALANT MMC GRANDE,1985,1985,85,B,111,76,150,
3000,MITSUBISHI LANCER AUTO 4 PUERTAS  Y MITSUBISHI 2 PUERTAS P/ESQ./PEGADO,1989,1991,89-91,B,112,78.5,147,78
3000,MITSUBISHI LANCER AUTO 4 PUERTAS P/RED./PEGADO,1980,1980,80,A,104,67,136,66.5
3000,MITSUBISHI ROSA MICROBUS/GOMA,1990,1992,90-92,B,169,91,185.5,88
3000,MITSUBISHI COLT VISTA VAGONETA Y MITSUBISHI CHARRIOT /2Y 4 PUERTAS /PEGADO,1988,1988,88,B,110,77,138,
3000,MITSUBISHI OUTLANDER VAGONETA P/ESQ./PEGADO,2003,2003,2003,A,118,85,138,79
3000,MITSUBISHI DEPORTIVO AUTO 2 PUERTAS,1980,1980,80,,,,,
3000,MITSUBISHI LANCER VAGONETA Y AUTO 4 PUERTAS /PEGADO,1992,1993,92-93,A,109,81,146,75
3000,MITSUBISHI GALANT AUTO Y VAGONETA 4 PUERTAS,1980,1980,80,B,110,66,139.5,64
3000,MITSUBISHI CANTER CAMIONETA 4 PUERTAS/GOMA,1985,1985,85,A,137,69,150,66
3000,MITSUBISHI CANTER CAMIONETA  (HIUNDAY) P/RED./GOMA,1990,1990,90,B,165,73,180.5,
3000,MITSUBISHI  L200 CAMIONETA 2 PUERTAS /GOMA,1980,1984,80-84,B,,,,
3000,MITSUBISHI AUTO 2 PUERTAS (CBBA),1988,1988,88,,,,,
3000,MITSUBISHI GALANT VAGONETA 4 PUERTAS P/RED.,1980,1980,80,A,107,64.5,137,60
3000,MITSUBISHI GALANT AUTO 4 PUERTAS /PEGADO,1990,1990,90,A,110,78,146,GRANDE
3000,MITSUBISHI ETERNA AUTO 4 PUERTAS /PEGADO,1900,1990,,B,113,75,146,CHICO
3000,MITSUBISHI ROSA MICROBUS/GOMA,1980,1980,80,A,176.5,85.5,196,
3000,MITSUBISHI ECLIPSE AUTO 2 PUERTAS /PEGADO,1988,1991,88-91,A,114,78.5,150.5,
3000,MITSUBISHI CANTER 3600 CAMIONETA 2 PUERTAS CORTE A LOS COSTADOS DE LA BASE/GOMA,1995,1996,95-96,A,166,75,178,68
3000,MITSUBISHI GALANT AUTO 4 PUERTAS CORTE A LOS COSTADOS DE LA BASEP/RED./PEGADO,1993,1995,93-95,B,114,84,150,75
3000,MITSUBISHI COLT AUTO,1981,1981,81,,,,,
3000,MITSUBISHI SPACE VAGONETA 4 PUERTAS /RED./PEGADO,1993,1993,93,B,118.5,86.5,146,81
3000,MITSUBISHI MINIKA AUTO 2 PUERTAS /RED./PEGADO,1991,1991,91,B,96,79,123,73.5
3000,MITSUBISHI PAJERO JEEP MINI P/ESQ./PEGADO,1996,1996,96,A,101,62.5,121,62.5
3000,MITSUBISHI EXPO LRV VAGONETA 4 PUERTAS,1991,1991,91,,120,87,147,
3000,MITSUBISHI FUSO CAMI�N CORTE ARRIBA/GOMA,1987,1987,87,,207.5,79.5,214,76
3000,MITSUBISHI LANSER AUTO 4 PUERTAS P/ESQ./PEGADO,1996,1996,96,B,111,86,147,78
3000,MITSUBISHI SAPPORO AUTO 4 PUERTAS,1983,1983,83,,109.5,68.5,138.5,64.5
3000,MITSUBISHI WOGON GT 300 FURGONETA 3 PUERTAS,1993,1993,93,,,,,
3000,MITSUBISHI MIRACLE P/ESQ./PEGADO,1990,1990,90,B,111,79,147,
3000,MITSUBISHI MIRAGE Y MITSUBISHI DELICA FURGON/PEGADO,1995,1995,95,B,125,101,151,91
3000,MITSUBISHI COLT   VAGONETA 4PUERTAS Y AUTO 2 PUERTAS,1993,1993,93,A,110,82.5,146,
3000,MITSUBISHI FUSO CAMI�N CORTE ARRIBA/GOMA,1985,1985,85,B,175,79,182.5,
3000,MITSUBISHI MONTERO SPORT VAGONETA /PEGADO,1998,1998,98,,120,69,147,
3000,MITSUBISHI ETERNA Y MITSUBISHI SAVAT AUTO 4 PUERTAS /PEGADO,1991,1991,91,,,,,
3000,MITSUBISHI L200 4 PUERTAS CAMIONETA/PEGADO,1998,1998,98,,120,69,147,62
3000,MITSUBISHI ESPACE GERAR GLX FURGONETA/PEGADO,1995,1996,95-96,,125,101,151,91
3000,,1900,1980,,,,,,
3000,MITSUBISHI ECLIPSE AUTO 2 PUERTAS P/RED./PEGADO,1997,1998,97-98,,112,83.5,150,77
3000,MITSUBISHI FUSO CAMI�NCITO,1980,1983,80-83,,,,,
3000,MITSUBISHI 3000 GT AUTO 2 PUERTAS P/ESQ./PEGADO,1995,1995,95,A,117,82,150,75
3000,MITSUBISHI MONTERO IO JEEP Y VAGONETA P/ESQ./PEGADO,2000,2000,2000,B,116,62.5,140,61
3000,MITSUBISHI MONTERO PAJERO JEEP Y VAGONETA  P/ESQ./PEGADO,2001,2001,2001,B,125,76.5,150,73
3000,MITSUBISHI SATURN AUTO 4 PUERTAS P/ESQ./PEGADO,1995,1995,95,B,117,88.5,1153,80
3000,MITSUBISHI LANCER EVOLUTION  P/ESQ./PEGADO,2002,2003,2002-2003,B,115,89,147,82.5
3000,MITSUBISHI GALANT AUTO Y MITSUBISHI LEGNUM P/ESQ./PEGADO,2004,2004,2004,B,112,88,144,83
3000,MITSUBISHI ECLIPSE AUTO 2 PUERTAS P/RED./PEGADO,2004,2004,2004,A,116,88,153,81
3000,MITSUBISHI ENDEAVOR VAGONETA P/ESQ.,2005,2005,2005,A,132,90,160,90
3000,MITSUBISHI GALANT AUTO 4 PUERTAS  P/ESQ.,2004,2007,2004-2007,B,123,91.5,154,
3000,MITSUBISHI CHARIOT VAGONETA 4 PUERTAS  P/ESQ./PEGADO,1998,1998,1998,B,121,98,145,88
3000,MITSUBISHI CANTER CAMIONCITO (CHICO),1996,1996,1996,,140,71,150/155,65.5
3000,MITSUBISHI FTO AUTO 2 PUERTAS P/RED./PEGADO,1996,1996,1996,B,112,84,159,65
3000,MITSUBISHI ECLIPSE AUTO 2 PUERTAS P/ESQ./PEGADO,2005,2005,2005,B,122,84,151,80
3000,MITSUBISHI DIAMANTE AUTO 4 PUERTAS P/ESQ./PEGADO,2000,2000,2000,,110,88,148,74
3000,MITSUBISHI RVR 3 PUERTAS ALETA IZQ. P/ESQ./PEGADO,1998,1998,1998,,121.5,97,144.5,88.5
3000,MITSUBISHI TRITON CAMIONETA 4 PUERTAS P/ESQ./PEGADO,2007,2007,2007,A,119,78,145,77
3000,MITSUBISHI FUSO FIGHTER CAMI�N CORTE ARRIBA/GOMA,1997,1997,1997,,176,85.5,192.5,82
3000,MITSUBISHI LANCER AUTO 4 PUERTA,2008,2008,2008,,,,,
3000,MITSUBISHI FUSO ROSA MICRO BUS,2016,2016,2016,,,,,
